Version;Date_of_report;Date_of_statistics;Security_region_code;Security_region_name;Tested_with_result;Tested_positive
2;2021-11-08 09:00:00;2020-06-01;VR01;Groningen;2;0
2;2021-11-08 09:00:00;2020-06-02;VR01;Groningen;213;0
2;2021-11-08 09:00:00;2020-06-03;VR01;Groningen;207;0
2;2021-11-08 09:00:00;2020-06-04;VR01;Groningen;247;1
2;2021-11-08 09:00:00;2020-06-05;VR01;Groningen;227;0
2;2021-11-08 09:00:00;2020-06-06;VR01;Groningen;100;0
2;2021-11-08 09:00:00;2020-06-07;VR01;Groningen;8;0
2;2021-11-08 09:00:00;2020-06-08;VR01;Groningen;301;1
2;2021-11-08 09:00:00;2020-06-09;VR01;Groningen;225;0
2;2021-11-08 09:00:00;2020-06-10;VR01;Groningen;196;3
2;2021-11-08 09:00:00;2020-06-11;VR01;Groningen;202;1
2;2021-11-08 09:00:00;2020-06-12;VR01;Groningen;140;1
2;2021-11-08 09:00:00;2020-06-13;VR01;Groningen;84;0
2;2021-11-08 09:00:00;2020-06-14;VR01;Groningen;16;0
2;2021-11-08 09:00:00;2020-06-15;VR01;Groningen;306;2
2;2021-11-08 09:00:00;2020-06-16;VR01;Groningen;278;0
2;2021-11-08 09:00:00;2020-06-17;VR01;Groningen;249;0
2;2021-11-08 09:00:00;2020-06-18;VR01;Groningen;271;0
2;2021-11-08 09:00:00;2020-06-19;VR01;Groningen;235;0
2;2021-11-08 09:00:00;2020-06-20;VR01;Groningen;104;0
2;2021-11-08 09:00:00;2020-06-21;VR01;Groningen;35;0
2;2021-11-08 09:00:00;2020-06-22;VR01;Groningen;362;0
2;2021-11-08 09:00:00;2020-06-23;VR01;Groningen;305;0
2;2021-11-08 09:00:00;2020-06-24;VR01;Groningen;211;0
2;2021-11-08 09:00:00;2020-06-25;VR01;Groningen;277;0
2;2021-11-08 09:00:00;2020-06-26;VR01;Groningen;193;0
2;2021-11-08 09:00:00;2020-06-27;VR01;Groningen;117;0
2;2021-11-08 09:00:00;2020-06-28;VR01;Groningen;26;0
