name,code2018,code2020,code2021,rivm2020,rivm2021,inhabitant_frac_2020,inhabitant_frac_2021
Appingedam,3,3,1979,Appingedam,Eemsdelta,1.0,0.25552353506243997
Bedum,5,1966,1966,Het Hogeland,Het Hogeland,0.21044176706827308,0.21044176706827308
Ten Boer,9,14,14,Groningen,Groningen,0.03180628272251309,0.03180628272251309
Delfzijl,10,10,1979,Delfzijl,Eemsdelta,1.0,0.5331412103746398
Groningen,14,14,14,Groningen,Groningen,0.8827879581151833,0.8827879581151833
Grootegast,15,1969,1969,Westerkwartier,Westerkwartier,0.19924658095160103,0.19924658095160103
Stein,971,971,971,Stein,Stein,1.0,1.0
Vaals,981,981,981,Vaals,Vaals,1.0,1.0
Venlo,983,983,983,Venlo,Venlo,1.0,1.0
Haren,17,14,14,Groningen,Groningen,0.08540575916230367,0.08540575916230367
Leek,22,1969,1969,Westerkwartier,Westerkwartier,0.32151338956678405,0.32151338956678405
Loppersum,24,24,1979,Loppersum,Eemsdelta,1.0,0.21133525456292027
Marum,25,1969,1969,Westerkwartier,Westerkwartier,0.17033821963803128,0.17033821963803128
Almere,34,34,34,Almere,Almere,1.0,1.0
Voerendaal,986,986,986,Voerendaal,Voerendaal,1.0,1.0
Stadskanaal,37,37,37,Stadskanaal,Stadskanaal,1.0,1.0
Veendam,47,47,47,Veendam,Veendam,1.0,1.0
Zeewolde,50,50,50,Zeewolde,Zeewolde,1.0,1.0
Winsum,53,1966,1966,Het Hogeland,Het Hogeland,0.27309236947791166,0.27309236947791166
Zuidhorn,56,1969,1969,Westerkwartier,Westerkwartier,0.3089018098435837,0.3089018098435837
Dongeradeel,58,1970,1970,Noardeast-Fryslân,Noardeast-Fryslân,0.5254833040421792,0.5254833040421792
Achtkarspelen,59,59,59,Achtkarspelen,Achtkarspelen,1.0,1.0
Ameland,60,60,60,Ameland,Ameland,1.0,1.0
Valkenburg aan de Geul,994,994,994,Valkenburg aan de Geul,Valkenburg aan de Geul,1.0,1.0
Arnhem,202,202,202,Arnhem,Arnhem,1.0,1.0
Harlingen,72,72,72,Harlingen,Harlingen,1.0,1.0
Heerenveen,74,74,74,Heerenveen,Heerenveen,1.0,1.0
Kollumerland en Nieuwkruisland,79,1970,1970,Noardeast-Fryslân,Noardeast-Fryslân,0.2827328646748682,0.2827328646748682
Leeuwarden,80,80,80,Leeuwarden,Leeuwarden,1.0,1.0
Ooststellingwerf,85,85,85,Ooststellingwerf,Ooststellingwerf,1.0,1.0
Opsterland,86,86,86,Opsterland,Opsterland,1.0,1.0
Schiermonnikoog,88,88,88,Schiermonnikoog,Schiermonnikoog,1.0,1.0
Smallingerland,90,90,90,Smallingerland,Smallingerland,1.0,1.0
Terschelling,93,93,93,Terschelling,Terschelling,1.0,1.0
Vlieland,96,96,96,Vlieland,Vlieland,1.0,1.0
Weststellingwerf,98,98,98,Weststellingwerf,Weststellingwerf,1.0,1.0
Assen,106,106,106,Assen,Assen,1.0,1.0
Coevorden,109,109,109,Coevorden,Coevorden,1.0,1.0
Emmen,114,114,114,Emmen,Emmen,1.0,1.0
Hoogeveen,118,118,118,Hoogeveen,Hoogeveen,1.0,1.0
Meppel,119,119,119,Meppel,Meppel,1.0,1.0
Almelo,141,141,141,Almelo,Almelo,1.0,1.0
Borne,147,147,147,Borne,Borne,1.0,1.0
Dalfsen,148,148,148,Dalfsen,Dalfsen,1.0,1.0
Deventer,150,150,150,Deventer,Deventer,1.0,1.0
Cromstrijen,611,1963,1963,Hoeksche Waard,Hoeksche Waard,0.14936088250744178,0.14936088250744178
Enschede,153,153,153,Enschede,Enschede,1.0,1.0
Barneveld,203,203,203,Barneveld,Barneveld,1.0,1.0
Haaksbergen,158,158,158,Haaksbergen,Haaksbergen,1.0,1.0
Hardenberg,160,160,160,Hardenberg,Hardenberg,1.0,1.0
Hellendoorn,163,163,163,Hellendoorn,Hellendoorn,1.0,1.0
